Programa,SEXO,NEM,PAES,ICA,Q1_MDV1,Q1_MDV2,Q1_MDV3,Q1_MDV4,Q1_MDV5,Q1_D1,Q1_MDF1,Q1_MDF2,Q1_MDF3,Q1_MDF4,Q1_MDF5,Q2_MDS1,Q2_MDS2,Q2_MDS3,Q2_MDS4,Q2_MDS5,Q2_D1,Q2_MDG1,Q2_MDG2,Q2_MDG3,Q2_MDG4,Q2_MDG5,Q3_MDI1,Q3_MDI2,Q3_MDI3,Q3_MDI4,Q3_D1,Q3_MDE1,Q3_MDE2,Q3_MDE3,Q3_MDE4,Q4_S1,Q4_S2,Q4_S3,Q4_S4,Q4_S5,Q4_S6,Q4_S7,Q4_S8,Q5_BA1,Q5_BA2,Q5_BA3,Q5_BP1,Q5_BP2,Q5_BS1,Q5_BS2,Q5_BF1,Q5_BF2,Q5_I1,Q5_I2,Q6_A1,Q6_A2,Q6_A3,Q6_B1,Q6_B2,Q6_B3,Q7_A1,Q7_A2,Q7_A3,Q7_A4,Q7_A5,Q7_B1,Q8_EM1,Q8_EM2,Q8_EM3,Q8_EM4,Q9_E1,Q9_E2,Q9_E3
Administration,female,965,728,4959,1,3,3,1,1,1,2,2,4,2,2,1,3,2,1,1,1,2,2,3,2,2,3,3,2,3,1,1,1,1,1,1,1,1,3,1,3,2,2,1,3,2,1,1,2,3,2,1,3,2,3,3,3,1,2,1,1,1,2,3,3,4,3,2,3,4,1,1,1
Engineering,male,893,811,720,3,2,3,2,2,2,3,3,3,3,1,3,2,2,3,1,2,2,2,1,3,3,1,3,2,3,2,2,3,2,3,3,2,2,3,2,3,3,2,2,3,1,2,2,2,2,1,3,3,2,3,3,2,3,2,3,2,2,1,2,2,2,2,3,3,3,4,3,2
Administration,female,742,710,4959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1
Administration,male,856,667.6,6104,3,2,3,2,4,4,3,4,3,3,4,4,3,3,3,4,3,4,3,3,4,3,3,4,3,4,2,3,3,4,3,3,4,3,4,4,4,2,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,4,4
Social Sciences,female,837,765,6388,2,1,3,2,2,1,1,2,2,2,1,1,2,2,2,3,3,2,3,3,2,2,4,2,2,3,2,1,2,3,1,3,2,3,2,1,2,1,1,1,2,1,2,2,3,3,2,2,3,1,3,4,3,1,2,1,2,2,2,2,3,2,2,3,1,2,3,2,3
Engineering,male,814,672,640,1,1,3,2,1,1,2,1,1,3,1,1,1,3,2,1,1,2,1,1,3,1,3,2,1,2,4,1,2,4,3,1,1,2,2,1,1,1,1,1,1,2,1,1,3,4,1,1,1,3,1,1,1,3,3,4,1,1,1,2,2,3,4,3,4,4,1,1,1
Engineering,male,799,898,710,1,2,4,1,1,2,1,1,1,1,2,1,2,4,1,2,2,1,1,1,1,2,2,1,1,1,3,1,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,1,1,1,3,4,4,1,1,1,1,1,3,4,3,3,4,1,1,1
Social Sciences,female,727,687.35,5957,1,1,3,3,2,2,3,3,2,4,2,3,3,2,3,1,2,2,3,1,2,4,3,2,2,3,4,4,2,3,2,4,1,2,4,2,3,2,3,2,2,2,2,3,3,3,2,3,4,3,3,3,3,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
Engineering,male,856,825,5245,2,3,3,3,2,1,1,2,4,1,3,2,3,3,2,2,1,1,3,4,2,3,4,3,2,2,3,1,2,2,2,1,2,1,2,1,4,2,3,3,1,2,2,3,2,4,1,1,2,3,3,2,3,2,4,3,1,1,1,1,1,2,2,2,3,3,1,1,1
Administration,female,928,698,679,1,2,2,2,1,1,2,3,2,4,4,1,1,2,1,2,1,2,3,2,3,4,3,2,3,2,4,1,2,4,3,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,2,2,3,2,1,2,4,4,3,3,2,3,2,2,3,2,2,3
Engineering,male,699,832,3291,2,3,2,1,1,2,2,3,3,2,2,1,3,2,2,2,3,2,3,3,2,2,1,3,3,3,4,4,2,3,2,1,1,1,2,1,2,2,2,3,1,2,2,2,2,2,2,3,2,2,2,2,3,4,3,3,1,1,1,1,1,1,2,3,3,3,1,1,1
Engineering,male,823,800,4845,3,3,4,4,3,2,1,1,2,1,2,4,4,4,4,4,2,2,2,2,2,3,4,3,3,3,3,2,2,2,2,2,1,2,2,1,3,2,3,3,2,2,2,2,2,2,3,3,3,2,2,3,3,2,2,2,1,1,2,2,2,3,3,2,3,4,1,1,1
Administration,male,856,774.45,4207,2,2,3,1,1,1,1,2,1,1,3,2,2,3,1,2,1,1,2,1,2,3,3,1,1,1,3,1,2,3,2,1,1,1,1,1,1,1,1,2,2,2,2,3,2,4,2,3,3,2,3,4,2,4,3,3,1,1,1,3,2,1,4,2,4,4,1,1,1
Engineering,male,799,716,640,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
Social Sciences,female,865,820,6515,4,2,3,1,4,1,4,4,3,4,4,3,4,4,3,2,2,4,3,3,4,4,1,2,3,4,4,3,4,4,4,1,2,4,3,3,4,4,2,1,4,3,1,4,4,4,4,3,2,4,4,3,1,3,4,2,4,4,4,3,4,4,4,3,3,4,4,4,2
